category,subcategory,name,price,veg_status,tags,description,restaurant_name
Unknown Category,,Black Bean Sauce,938.1,Non-Veg,,Tossed in black bean sauce,Mamagoto
Unknown Category,,Three Pepper Bomb,689.1,Non-Veg,,"Wok tossed with green, white and Szechwan peppercorns. All mixed and finished with Chinese wine and sesame oil",Mamagoto
Unknown Category,,Thai Green Curry,819.1,Non-Veg,BESTSELLER,Spicy coconut based curry flavoured with fresh green chili and Thai herbs served with steam rice,Mamagoto
Unknown Category,,Thai Red Curry,819.1,Non-Veg,BESTSELLER,Spicy coconut based curry flavoured with fresh green chili and Thai herbs served with steam rice,Mamagoto
Unknown Category,,Wan Chai Midnight Chicken,769.0,Non-Veg,BESTSELLER,Our version of Kung Pao Chicken 302.9 kcal.,Mamagoto
Unknown Category,,Ginger Soy Sauce,689.1,Veg,,Mild Fresh Ginger And Wine Sauce,Mamagoto
Unknown Category,RICE BOWLS,Fiery Thai Shrimp Fried Rice with Asian Green Chili Chicken Ribbons,989.0,Non-Veg,,"An Exotic Signature Thai Spicy Seafood Flavoured Fried Rice, Served with Fried Chicken Ribbons, Isaan Sauce And Fried Egg, Served Dry.1549.6 Kcal. 1549.6 kcal.",Mamagoto
Unknown Category,RICE BOWLS,Mamagoto Goreng,989.0,Non-Veg,,"Nasi Goreng Inspiration with Sambal and Peanut Sauce, Chicken Satay Skewers and Fried Egg.1453.8 Kcal. 1453.8 kcal.",Mamagoto
Unknown Category,RICE BOWLS,Smoky BBQ Pork Belly Bowl,1209.0,Non-Veg,,"Grilled Skewers of Pork Belly with Leeks and BBQ Sauce. Served with Sticky Fried Rice, Pok Choy, Baby Corn and Fried Egg.1548.6 Kcal. 1548.6 kcal.",Mamagoto
Unknown Category,RICE BOWLS,Street Vendors Penang Curry Bowl,929.1,Non-Veg,,Curry With Peanuts Served with Sticky Rice.1817.3 Kcal.,Mamagoto
Unknown Category,RICE BOWLS,Crispy Rice,929.1,Veg,,Crispy And Crusty Pan-Fried Sticky Rice Served With Pok Choi,Mamagoto
Unknown Category,RICE BOWLS,Spicy Bangkok Bowl,929.1,Non-Veg,,"Similar To Bai Ka Pao, With Spices And Herbs Over Garlic And Chillies, Fried Sticky Rice Or Jasmine Rice. Served With Potato Wedges/Chopped Red Chillies And A Lemon Wedge",Mamagoto
Unknown Category,NOODLE BOWLS,Stir Fried Udon Noodles,929.1,Non-Veg,,Wok Tossed Udon Noodles Stir Fried with Veg or Chicken in Chili Hoisin Sauce or Prawns in Pepper Salt Seasoning 1723.2 Kcal.,Mamagoto
Unknown Category,NOODLE BOWLS,Mama's Chicken Broth for the Hungry Soul,989.0,Non-Veg,,"Light, Simple and Wholesome with Chicken, Pok choi, Vermicelli noodles and Veggies Along with 3 fried Chicken Wontons. Served with an Oriental Salsa on the Side. 472.6 kcal. 472.6 kcal.",Mamagoto
Unknown Category,NOODLE BOWLS,Chiang Mai Train Station Noodles,929.1,Non-Veg,BESTSELLER,"Coconut Milk, Burnt Onion and Garlic, ""Khao Suey"" Style 747.4 Kcal.",Mamagoto
Unknown Category,NOODLE BOWLS,Kolkata Spicy Noodles,929.1,Veg,,"Wok Tossed Thick Japanese Noodles And Mixed Vegetables, Flavoured With Spicy Fresh Red Chili",Mamagoto
Unknown Category,NOODLE BOWLS,Mamas Spicy Ramen Bowl,929.1,Non-Veg,,,Mamagoto
Unknown Category,NOODLE BOWLS,Miso Broth Ramen Bowl,929.1,Non-Veg,,,Mamagoto
Unknown Category,RICE,Yangchow Champions Fried Rice,549.0,Non-Veg,,Wok Tossed Soft Wheat Noodles Tossed with Shredded Vegetables 1094 kcal 756 kcal.,Mamagoto
Unknown Category,RICE,Fried Rice,389.1,Veg,BESTSELLER,,Mamagoto
Unknown Category,RICE,Mamas Hot Spicy Fried Rice,429.1,Veg,,Wok Tossed Long Grain Rice And Vegetables Flavoured With Chili And Garlic,Mamagoto
Unknown Category,RICE,Sticky Fried Rice,429.1,Veg,,,Mamagoto
Unknown Category,NOODLES,Hakka Noodles,389.1,Veg,BESTSELLER,,Mamagoto
Unknown Category,NOODLES,Hawker Noodles (Pad Thai),529.1,Veg,,,Mamagoto
Unknown Category,NOODLES,Pan Fried Noodle,529.1,Veg,BESTSELLER,,Mamagoto
Unknown Category,,Snow Peas & Green Beans,579.0,Veg,,"Thai coconut milk reduction, burnt garlic and onion, peanuts 479.92 kcal.",Mamagoto
Unknown Category,,Thai Chicken and Water Chestnut,659.0,Non-Veg,,"With red chili strips, kaffir lime, lemongrass, coconut & cashewnut 1230 kcal.",Mamagoto
Unknown Category,,Floating Market Seafood,549.0,Non-Veg,,Garlic infused thick textured soup with fish and prawn 138.74 kcal.,Mamagoto
Unknown Category,,Tom Yum,439.1,Non-Veg,,Traditional Thai Soup,Mamagoto
Unknown Category,,Chinese Sour and Pepper,439.1,Veg,,With 22 ingredients 199.71 kcal.,Mamagoto
Unknown Category,,Oriental Clear Soup,439.1,Veg,,,Mamagoto
Unknown Category,,Sweet Corn Soup,439.1,Veg,,,Mamagoto
Unknown Category,,Chunky Caramel Sponge Cake,399.0,Veg,,With toffee sauce,Mamagoto
Unknown Category,,Black Bean Jam,249.0,Veg,,A Multipurpose Dip made from fermented bean & spices 180g,Mamagoto
Unknown Category,,Rice and Noodle Master,279.0,Veg,,Multipurpose flavour enhancer180g,Mamagoto
